name, name_modified, nr_samples, fs, channel_ids, sequence, class, avg. quality, segment id
3_1_0.mat,3_0_0001,240000,400,16,1,0,100,1
3_2_0.mat,3_0_0002,240000,400,16,2,0,100,1
3_3_0.mat,3_0_0003,240000,400,16,3,0,100,1
3_4_0.mat,3_0_0004,240000,400,16,4,0,100,1
3_5_0.mat,3_0_0005,240000,400,16,5,0,100,1
3_6_0.mat,3_0_0006,240000,400,16,6,0,100,1
3_7_0.mat,3_0_0007,240000,400,16,1,0,100,2
3_8_0.mat,3_0_0008,240000,400,16,2,0,100,2
3_9_0.mat,3_0_0009,240000,400,16,3,0,100,2
3_10_0.mat,3_0_0010,240000,400,16,4,0,100,2
3_11_0.mat,3_0_0011,240000,400,16,5,0,100,2
3_12_0.mat,3_0_0012,240000,400,16,6,0,100,2
3_13_0.mat,3_0_0013,240000,400,16,1,0,100,3
3_14_0.mat,3_0_0014,240000,400,16,2,0,100,3
3_15_0.mat,3_0_0015,240000,400,16,3,0,100,3
3_16_0.mat,3_0_0016,240000,400,16,4,0,100,3
3_17_0.mat,3_0_0017,240000,400,16,5,0,100,3
3_18_0.mat,3_0_0018,240000,400,16,6,0,100,3
3_19_0.mat,3_0_0019,240000,400,16,1,0,100,4
3_20_0.mat,3_0_0020,240000,400,16,2,0,100,4
3_21_0.mat,3_0_0021,240000,400,16,3,0,100,4
3_22_0.mat,3_0_0022,240000,400,16,4,0,100,4
3_23_0.mat,3_0_0023,240000,400,16,5,0,100,4
3_24_0.mat,3_0_0024,240000,400,16,6,0,100,4
3_25_0.mat,3_0_0025,240000,400,16,1,0,97,5
3_26_0.mat,3_0_0026,240000,400,16,2,0,100,5
3_27_0.mat,3_0_0027,240000,400,16,3,0,100,5
3_28_0.mat,3_0_0028,240000,400,16,4,0,100,5
3_29_0.mat,3_0_0029,240000,400,16,5,0,100,5
3_30_0.mat,3_0_0030,240000,400,16,6,0,100,5
3_31_0.mat,3_0_0031,240000,400,16,1,0,100,6
3_32_0.mat,3_0_0032,240000,400,16,2,0,100,6
3_33_0.mat,3_0_0033,240000,400,16,3,0,100,6
3_34_0.mat,3_0_0034,240000,400,16,4,0,100,6
3_35_0.mat,3_0_0035,240000,400,16,5,0,99,6
3_36_0.mat,3_0_0036,240000,400,16,6,0,100,6
3_37_0.mat,3_0_0037,240000,400,16,1,0,100,7
3_38_0.mat,3_0_0038,240000,400,16,2,0,100,7
3_39_0.mat,3_0_0039,240000,400,16,3,0,100,7
3_40_0.mat,3_0_0040,240000,400,16,4,0,100,7
3_41_0.mat,3_0_0041,240000,400,16,5,0,100,7
3_42_0.mat,3_0_0042,240000,400,16,6,0,100,7
3_43_0.mat,3_0_0043,240000,400,16,1,0,100,8
3_44_0.mat,3_0_0044,240000,400,16,2,0,100,8
3_45_0.mat,3_0_0045,240000,400,16,3,0,100,8
3_46_0.mat,3_0_0046,240000,400,16,4,0,100,8
