name, name_modified, nr_samples, fs, channel_ids, sequence, class, avg. quality, segment id
2_1_0.mat,2_0_0001,240000,400,16,1,0,27,1
2_2_0.mat,2_0_0002,240000,400,16,2,0,75,1
2_3_0.mat,2_0_0003,240000,400,16,3,0,91,1
2_4_0.mat,2_0_0004,240000,400,16,4,0,100,1
2_5_0.mat,2_0_0005,240000,400,16,5,0,100,1
2_6_0.mat,2_0_0006,240000,400,16,6,0,82,1
2_7_0.mat,2_0_0007,240000,400,16,1,0,97,2
2_8_0.mat,2_0_0008,240000,400,16,2,0,74,2
2_9_0.mat,2_0_0009,240000,400,16,3,0,99,2
2_10_0.mat,2_0_0010,240000,400,16,4,0,91,2
2_11_0.mat,2_0_0011,240000,400,16,5,0,96,2
2_12_0.mat,2_0_0012,240000,400,16,6,0,99,2
2_13_0.mat,2_0_0013,240000,400,16,1,0,88,3
2_14_0.mat,2_0_0014,240000,400,16,2,0,100,3
2_15_0.mat,2_0_0015,240000,400,16,3,0,100,3
2_16_0.mat,2_0_0016,240000,400,16,4,0,97,3
2_17_0.mat,2_0_0017,240000,400,16,5,0,100,3
2_18_0.mat,2_0_0018,240000,400,16,6,0,100,3
2_19_0.mat,2_0_0019,240000,400,16,1,0,100,4
2_20_0.mat,2_0_0020,240000,400,16,2,0,94,4
2_21_0.mat,2_0_0021,240000,400,16,3,0,100,4
2_22_0.mat,2_0_0022,240000,400,16,4,0,99,4
2_23_0.mat,2_0_0023,240000,400,16,5,0,98,4
2_24_0.mat,2_0_0024,240000,400,16,6,0,100,4
2_25_0.mat,2_0_0025,240000,400,16,1,0,100,5
2_26_0.mat,2_0_0026,240000,400,16,2,0,99,5
2_27_0.mat,2_0_0027,240000,400,16,3,0,99,5
2_28_0.mat,2_0_0028,240000,400,16,4,0,97,5
2_29_0.mat,2_0_0029,240000,400,16,5,0,98,5
2_30_0.mat,2_0_0030,240000,400,16,6,0,68,5
2_31_0.mat,2_0_0031,240000,400,16,1,0,99,6
2_32_0.mat,2_0_0032,240000,400,16,2,0,99,6
2_33_0.mat,2_0_0033,240000,400,16,3,0,100,6
2_34_0.mat,2_0_0034,240000,400,16,4,0,100,6
2_35_0.mat,2_0_0035,240000,400,16,5,0,100,6
2_36_0.mat,2_0_0036,240000,400,16,6,0,97,6
2_37_0.mat,2_0_0037,240000,400,16,1,0,100,7
2_38_0.mat,2_0_0038,240000,400,16,2,0,82,7
2_39_0.mat,2_0_0039,240000,400,16,3,0,65,7
2_40_0.mat,2_0_0040,240000,400,16,4,0,97,7
2_41_0.mat,2_0_0041,240000,400,16,5,0,100,7
2_42_0.mat,2_0_0042,240000,400,16,6,0,98,7
2_43_0.mat,2_0_0043,240000,400,16,1,0,40,8
2_44_0.mat,2_0_0044,240000,400,16,2,0,97,8
2_45_0.mat,2_0_0045,240000,400,16,3,0,99,8
2_46_0.mat,2_0_0046,240000,400,16,4,0,100,8
2_47_0.mat,2_0_0047,240000,400,16,5,0,100,8
2_48_0.mat,2_0_0048,240000,400,16,6,0,95,8
2_49_0.mat,2_0_0049,240000,400,16,1,0,96,9
2_50_0.mat,2_0_0050,240000,400,16,2,0,100,9
2_51_0.mat,2_0_0051,240000,400,16,3,0,100,9
2_52_0.mat,2_0_0052,240000,400,16,4,0,100,9
2_53_0.mat,2_0_0053,240000,400,16,5,0,100,9
2_54_0.mat,2_0_0054,240000,400,16,6,0,97,9
2_55_0.mat,2_0_0055,240000,400,16,1,0,98,10
2_56_0.mat,2_0_0056,240000,400,16,2,0,74,10
2_57_0.mat,2_0_0057,240000,400,16,3,0,39,10
2_58_0.mat,2_0_0058,240000,400,16,4,0,69,10
2_59_0.mat,2_0_0059,240000,400,16,5,0,98,10
2_60_0.mat,2_0_0060,240000,400,16,6,0,99,10
2_61_0.mat,2_0_0061,240000,400,16,1,0,100,11
2_62_0.mat,2_0_0062,240000,400,16,2,0,99,11
2_63_0.mat,2_0_0063,240000,400,16,3,0,100,11
2_64_0.mat,2_0_0064,240000,400,16,4,0,93,11
